id_site,type,type,area,bedrooms,suits,parkingSpots,floor,complexFee,propertyTax,price,amenities,currentPhase,lat,lng,city,number,postalCode,streetName,streetType,unitNumber,neighborhood
123jks9,apartment,apartment,65,2,1,2,7,1250,336.6,,"['gym', 'pool', 'party_room', 'green_area']",ready_to_move,-23.58680480,-46.67817620,São Paulo,107,04542-060,Iaiá,Rua,71,Itaim Bibi
125zuwq,apartment,apartment,78,2,0,0,1,500,0,340000,[],ready_to_move,-23.57822600,-46.60277320,São Paulo,670,04202-010,Leais Paulistanos,Rua,12,Ipiranga
127s1aa,apartment,apartment,110,3,1,1,7,1700,344.65,,"['playground', 'party_room', 'green_area']",finishments,-23.57894290,-46.67424480,São Paulo,109,04530-060,Antônio Felício,Rua,71,Itaim Bibi
127t8r3,apartment,apartment,98,3,1,2,12,1074.7,0,,"['gym', 'kids', 'gourmet', 'pool', 'playground', 'party_room', 'green_area']",ready_to_move,-23.60914160,-46.66412870,São Paulo,1267,,Jurupis,Alameda dos,121,Moema Índios
128eoy3,apartment,apartment,110,3,1,1,7,1350,200,1040000,['party_room'],ready_to_move,-22.96894031,-43.18614456,Rio de Janeiro,,,Barata Ribeiro,Rua,,Copacabana
12aobkq,apartment,apartment,95,3,1,1,4,900,111.13,585000,"['party_room', 'green_area']",ready_to_move,-23.62310300,-46.68327000,São Paulo,266,04601-000,Princesa Isabel,Rua,42,Campo Belo
12biv05,apartment,apartment,62,2,0,1,8,860,20.05,580000,"['pool', 'sports_court', 'party_room', 'green_area']",ready_to_move,-23.53101650,-46.70476000,São Paulo,346,05056-000,Tonelero,Rua,84,Vila Romana
12c6r8b,apartment,apartment,133,3,3,2,10,1150,279.01,798000,"['kids', 'pool', 'heated_pool', 'playground', 'party_room']",ready_to_move,-23.48799530,-46.62279740,São Paulo,173,02331-000,Nova Cantareira,Avenida,102,Santana
12ctb3q,apartment,apartment,71,2,2,2,3,635,52.51,617000,"['gym', 'kids', 'gourmet', 'pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.63424200,-46.73520680,São Paulo,175,05718-310,Delegado Moraes Novaes,Rua,34,Vila Andrade
12d51wd,apartment,apartment,42,2,0,1,16,371.16,0,280000,"['gym', 'kids', 'gourmet', 'sports_court', 'party_room']",ready_to_move,-23.55611510,-46.62013290,São Paulo,181,03106-030,Odorico Mendes,Rua,164,Cambuci
12dj36u,apartment,apartment,120,3,0,0,5,750,51.97,625000,[],ready_to_move,-23.53356840,-46.64851890,São Paulo,937,01202-002,Barão de Limeira,Alameda,52,Bom Retiro
12dk1vg,apartment,apartment,119,3,0,1,13,1457,253.13,,[],demolition,-23.58166240,-46.67667370,São Paulo,272,04532-000,Bandeira Paulista,Rua,131,Itaim Bibi
12ebmg6,apartment,apartment,174,3,1,1,13,1850,760.82,,['green_area'],ready_to_move,-23.56078550,-46.66499780,São Paulo,1277,01422-005,Franca,Alameda,132,Jardim América
12elkcl,apartment,apartment,68,2,0,1,2,749,0,470000,"['pool', 'playground', 'sports_court', 'party_room', 'play_game']",ready_to_move,-23.64081670,-46.63941320,São Paulo,1301,04313-001,Leonardo da Vinci,Avenida,23,Jabaquara
12exial,apartment,apartment,67,2,1,1,3,600,57.72,550000,"['gym', 'kids', 'gourmet', 'pool', 'playground', 'party_room', 'green_area']",ready_to_move,-23.56781000,-46.59360400,São Paulo,559,03122-000,Conde Prates,Rua,33,Mooca
12f0u7d,apartment,apartment,263,3,0,2,6,1832,703,2500000,[],ready_to_move,-22.95034754,-43.17811285,Rio de Janeiro,104,22290-240,Pasteur,Avenida,602,Botafogo
12f5273,apartment,apartment,175,3,1,2,3,1900,650.1,,"['sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.53222760,-46.68907070,São Paulo,775,05025-010,Raul Pompéia,Rua,31,Vila Romana
12g1mcg,apartment,apartment,94,2,1,1,1,790,317,1250000,"['gym', 'playground', 'party_room', 'green_area', 'condoPowerGenerator']",ready_to_move,-23.56995350,-46.65566070,São Paulo,312,01423-000,José Maria Lisboa,Rua,11,Jardim Paulista
12hb2qz,apartment,apartment,192,3,3,3,6,2691,2056.1,,"['gym', 'heated_pool', 'playground', 'sports_court', 'party_room', 'green_area', 'condoPowerGenerator']",ready_to_move,-23.59341470,-46.67041530,São Paulo,609,04510-040,Domingos Leme,Rua,61,Vila Nova Conceição
12hivua,apartment,apartment,37,0,0,1,14,640,125.6,300000,"['pool', 'party_room']",ready_to_move,-23.54408630,-46.64616610,São Paulo,181,01223-001,Marquês de Itu,Rua,141,República
12jfgp4,apartment,apartment,86,3,1,1,7,1000,47.27,500000,"['gym', 'kids', 'pool', 'playground', 'sports_court', 'party_room', 'green_area']",ready_to_move,-23.66631070,-46.68140180,São Paulo,206,04678-020,Djalma Bento,Rua Professor,71,Campo Grande
12l20t2,apartment,apartment,120,2,1,1,9,1424,251.58,1595000,"['party_room', 'green_area']",ready_to_move,-23.57994210,-46.67697930,São Paulo,49,04532-010,Bandeira Paulista,Rua,92,Itaim Bibi
